년월,지점,강수량(mm)
2018-01,108,8.5
2018-02,108,29.6
2018-03,108,49.5
2018-04,108,130.3
2018-05,108,222
2018-06,108,171.5
2018-07,108,185.6
2018-08,108,202.6
2018-09,108,68.5
2018-10,108,120.5
2018-11,108,79.1
2018-12,108,16.4
